Trade Time,Structure,Start Date,Currency,Tenors,Rates,Notionals,DV01s,Package Price,Other Pay Types,Metric (bps),Expiration
2025-09-30 09:40:00,Outright,Spot,EUR,10Y,0.02645,75000000.0,1983.48,,,,2035-10-02
2025-09-30 09:40:00,Outright,Spot,EUR,10Y,0.02645,75000000.0,1983.48,,,,2035-10-02
2025-10-02 01:23:00,Outright,Spot,SGD,12M,0.012078,128841008.0,0.0,,,,2026-10-06
2025-10-02 01:23:00,Outright,Spot,SGD,12M,0.012078,128841008.0,0.0,,,,2026-10-06
2025-10-02 01:23:00,Outright,Spot,SGD,12M,0.012078,128841008.0,0.0,,,,2026-10-06
2025-10-02 01:23:00,Outright,Spot,SGD,12M,0.012078,128841008.0,0.0,,,,2026-10-06
2025-10-02 01:23:00,Outright,Spot,SGD,12M,0.012078,128841008.0,0.0,,,,2026-10-06
2025-10-02 01:23:00,Outright,Spot,SGD,12M,0.012078,128841008.0,0.0,,,,2026-10-06
2025-10-02 03:49:00,Outright,H6,KRW,5Y,0.02663,17000000000.0,226324.01,,,,2031-03-18
2025-10-02 05:39:00,Unwind,M5,JPY,3Y,0.00719,14500000000.0,31283.64,,,,2028-06-18
2025-10-02 05:39:00,Unwind,M5,JPY,10Y,0.0109,9100000000.0,99176.42,,,,2035-06-18
2025-10-02 05:39:00,Unwind,M5,JPY,30Y,0.01939,1800000000.0,104701.22,,,,2055-06-18
2025-10-02 05:46:00,Outright,Spot,AUD,5M,0.036,10000000.0,13.5,,,,2026-02-16
2025-10-02 05:47:00,Outright,3Y,AUD,3Y,0.000825,226875009.0,0.0,,,,2031-10-20
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
2025-10-02 05:50:00,Unwind,2015-11-02,AUD,10Y,0.05461,69560378.0,3894.89,,UWIN,,2026-02-02
