id,trade_time,structure,start_date,currency,tenors,rates,notionals,dv01s,package_price,other_pay_types,metric_bps,expiration,analysis_date,created_at
1,2025-07-09T08:32:00,Outright,6M,GBP,0Y,0.037026,3400000000.0,1688.85,,,,2026-02-05,2025-07-09,2025-07-09T10:43:52.687203
2,2025-07-09T08:32:00,Outright,9M,GBP,0Y,0.034726,3400000000.0,1583.94,,,,2026-06-18,2025-07-09,2025-07-09T10:43:52.687207
3,2025-07-09T08:33:00,Outright,6M,GBP,0Y,0.037,1100000000.0,546.01,,,,2026-02-05,2025-07-09,2025-07-09T10:43:52.687207
4,2025-07-09T08:33:00,Outright,9M,GBP,0Y,0.0347,1100000000.0,512.07,,,,2026-06-18,2025-07-09,2025-07-09T10:43:52.687207
5,2025-07-09T09:31:00,Outright,2025-09-10,EUR,9Y,0.0245156,41000000.0,925.47,,,,2034-11-25,2025-07-09,2025-07-09T10:43:52.687208
6,2025-07-09T09:31:00,Outright,2025-09-10,EUR,9Y,0.0245156,41000000.0,925.47,,,,2034-11-25,2025-07-09,2025-07-09T10:43:52.687208
7,2025-07-09T09:44:00,Outright,Spot,JPY,5Y,0.009555,30100000000.0,143783.06,,,,2030-07-11,2025-07-09,2025-07-09T10:43:52.687208
8,2025-07-09T09:54:00,Outright,Spot,JPY,2Y,0.007425,5000000000.0,7419.92,,,,2027-07-11,2025-07-09,2025-07-09T10:43:52.687209
9,2025-07-09T09:56:00,Outright,Spot,JPY,2Y,0.007425,35000000000.0,51939.43,,,,2027-07-11,2025-07-09,2025-07-09T10:43:52.687209
10,2025-07-09T10:10:00,Outright,Spot,ZAR,3Y,0.0704,1000000000.0,21124.82,,,,2028-07-09,2025-07-09,2025-07-09T10:43:52.687210
11,2025-07-09T10:10:00,Outright,Spot,ZAR,3Y,0.0704,1000000000.0,21124.82,,,,2028-07-09,2025-07-09,2025-07-09T10:43:52.687210
12,2025-07-09T10:10:00,Outright,Spot,ZAR,3Y,0.0704,1000000000.0,21124.82,,,,2028-07-09,2025-07-09,2025-07-09T10:43:52.687210
13,2025-07-09T10:10:00,Outright,Spot,ZAR,3Y,0.0704,1000000000.0,21124.82,,,,2028-07-09,2025-07-09,2025-07-09T10:43:52.687211
14,2025-07-09T10:11:00,Outright,U5,CZK,5Y,0.03366,1156803688.0,0.0,,UFRO,,2030-09-17,2025-07-09,2025-07-09T10:43:52.687211
15,2025-07-09T10:11:00,Outright,2025-10-31,JPY,0Y,0.00548,270000000000.0,19849.53,,,,2025-12-19,2025-07-09,2025-07-09T10:43:52.687211
